# 剧名,播放平台,类型,剧起始日期,总集数,更新至,更新日期,是否完结,观看时间,评价
,,,,,,,,,
秦时明月,腾讯,动画,20200311,9999,第一季未完结,,,,
武庚记,腾讯,动画,114,114,停更,,,,
鬼灭之刃,腾讯,动画,20200311,9999,第一季未完结,,,,
刃牙,腾讯,动画,1,26,停更,,,,
星辰变,腾讯,动画,24,24,停更,,,,
武动乾坤,腾讯,动画,24,24,停更,,,,
一人之下,腾讯,动画,20200508,第三季完,未完结,,,,
斗破苍穹第一季,腾讯,动画,12,12,停更,,,,
斗破苍穹第二季,腾讯,动画,12,12,停更,,,,
斗破苍穹第三季,腾讯,动画,12,12,停更,,,,
斗破苍穹第四季,腾讯,动画,12,4,更新中,,,,
异世界中药铺,腾讯,动画,40,40,停更,,,,
万界春秋,腾讯,动画,56,56,停更,,,,
画江湖之不良人,腾讯,动画,20200311,9999,第一季未完结,,,,
魔道祖师,腾讯,动画,23,23,停更,,,,
一条狗的使命2,腾讯,动画,20200506,完,未好好看,,,,
陈情令,腾讯,动画,20200510,0,未开始追剧,,,,
一条狗的使命1,腾讯,动画,20200509,0,未开始追剧,,,,
大主宰,腾讯,动画,20200510,45,完,,,,
书灵记,腾讯,动画,20200507,30,未完结,,,,
灵剑尊,腾讯,动画,2019,200,173,周二周五,更新中,,
绝世武魂,腾讯,动画,2020,60,59,周三周日,更新中,,
独步逍遥,腾讯,动画,2020,160,90,周一周四,更新中,,
武神主宰,腾讯,动画,2020,160,124,周二周日,更新中,,
九夜神传,腾讯,动画,,13,4,周一17:00,,,
万界仙踪,腾讯,动画,2018,176,176,周一周四,停更中,,
天荒战神,腾讯,动画,2020,80,52,周三周日,更新中,,
万界法神,腾讯,动画,2020,50,36,周一周五,更新中,,
斗罗大陆,腾讯,动画,2018,0,148,周六,更新中,,
墓王之王,腾讯,动画,,87,87,停更,,,
妖神记,腾讯,动画,,172,172,停更,,,
仙风剑雨录,腾讯,动画,,70,54,周三周六,更新中,,
万鹰领主,腾讯,动画,,33,33,停更中,,,
雪鹰领主,腾讯,动画,,33,33,停更中,,,
地灵曲,腾讯,动画,,33,33,停更中,,,
首席御灵师,腾讯,动画,,100,62,停更中,,,
万界神主,腾讯,动画,,108,108,停更中,,,
长安幻街,腾讯,动画,2020,40,26,周四周日10:00,更新中,,
流星幻剑,腾讯,动画,2021,60,27,周四周日10:00,更新中,,
伍六七之玄武国篇,腾讯,动画,,10,1,周三,更新中,,
刺客伍六七之第一季,腾讯,动画,2018,14,14,无,已完结,,
绝顶,腾讯,动画,2021,26,8,周六,,,
画江湖之轨夜行,腾讯,动画,,40,20,周二,更新中,,
唯我独神,腾讯,动画,2021,50,15,周一周四,更新中,,
山河剑心,腾讯,动画,2021,16,13,周一,停更中,,
一念永恒,腾讯,动画,2020,52,52,周三,停更中,,
神武天尊,爱奇艺,动画,2020,0,54,周五9:00,更新中,,
仙武帝尊,优酷,动态漫画,2021,0,83,周一周四9:30,更新中,,
西行纪,腾讯,动画,2018,38,38,周三,停更中,,
逆天剑神,爱奇艺,动态漫画,2020,0,48,周三周六9:00,更新中,20210727,"一般般,有会员可以看看"
神武天尊,爱奇艺,动态漫画,2020,0,63,周五9:00,更新中,20210727,不错
绝世武神第二季,爱奇艺,动态漫画,2020,0,49,周,更新中,,
绝世武神第一季,爱奇艺,动态漫画,2020,30,30,周,完结,,
星武神决,爱奇艺,动态漫画,2021,0,37,周,更新中,,
九天玄帝诀,优酷,动画,2021,40,40,周一周五10:00,停更中,20220110,
极道宗师第一季,优酷,动态漫画,2021,24,24,,已完结,,
极道宗师第二季,优酷,动态漫画,2021,24,6,,已完结,20220110,
天谕第一季,优酷,动态漫画,2017,13,13,,已完结,20220110,
天谕第二季,优酷,动态漫画,2018,13,13,,已完结,20220110,
练气练了三千年,优酷,动态漫画,2021,36,16,周五10:00,更新中,,
武逆,优酷,动态漫画,2021,45,33,周六10:00,更新中,,
剑域风云,优酷,动画,2021,40,15,周三周日10:00,更新中,20220110,
被迫成为反派赘婿第一季,优酷,动态漫画,2021,22,22,周五10:00,已完结,20220110,
被迫成为反派赘婿第二季,优酷,动态漫画,2021,45,22,周五10:00,更新中,20220110,
盖世帝尊,优酷,动态漫画,2021,26,13,周一9:00,更新中,,
名侦探柯南,优酷,动画,1996,,57,,更新中,,
海贼王,爱奇艺,动画,1999,0,947完,周,更新中,,
火影忍者,,,,,,,,,
真武巅峰,优酷,动画,2021,40,8,周一周五10:00,,,武神主宰的秦尘穿越
星河至尊,优酷,动画,2021,112,45,,停更中,20220110,第一季45集
